연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,데이터기준일자
112,5호선,오목교,28.2,15.1,510,4.5,0.4,2022-12-31
113,5호선,양평,29.8,14.3,482,4.8,0.3,2022-12-31
114,5호선,영등포구청(5),26.4,13,533,4.1,0.5,2022-12-31
115,5호선,영등포시장,32.6,17.5,501,4.9,0.4,2022-12-31
116,5호선,신길(5),26.1,13.3,756,7.1,0.5,2022-12-31
117,5호선,여의도,49.3,21.8,826,8.6,0.5,2022-12-31
118,5호선,여의나루,42.2,19.1,658,6.6,0.3,2022-12-31
119,5호선,마포,46,20.1,419,7.8,0.6,2022-12-31
120,5호선,공덕(5),25,12.3,444,6.2,0.4,2022-12-31
121,5호선,애오개,35.9,17.6,456,4.7,0.7,2022-12-31
122,5호선,충정로(5),29.5,15.6,438,5.4,0.4,2022-12-31
123,5호선,서대문,29.6,16.6,406,5.3,0.5,2022-12-31
124,5호선,광화문,30.4,14.1,514,5.8,0.5,2022-12-31
125,5호선,종로3가(5),44.3,21,478,7.8,0.4,2022-12-31
126,5호선,을지로4가(5),32.9,15.3,381,5,0.6,2022-12-31
127,5호선,동대문역사문화공원(5),32.7,17,350,8.5,0.5,2022-12-31
128,5호선,청구(5),36.9,16.8,342,7.4,1,2022-12-31
129,5호선,신금호,29.4,15.4,381,4.6,0.6,2022-12-31
130,5호선,행당,21.4,10.9,341,3.2,0.4,2022-12-31
131,5호선,왕십리(5),27.6,14.8,507,7.9,0.5,2022-12-31
132,5호선,마장,32.1,16.6,407,7.8,0.5,2022-12-31
133,5호선,답십리,26.9,14,395,8.3,0.4,2022-12-31
134,5호선,장한평,47.4,22.4,431,6.6,0.3,2022-12-31
135,5호선,군자(5),31.4,13.7,481,7.8,0.3,2022-12-31
136,5호선,아차산,42,21.4,429,8.7,0.6,2022-12-31
137,5호선,광나루,30.6,19.6,411,8.8,0.4,2022-12-31
138,5호선,천호(5),59.1,27.9,433,6.6,0.4,2022-12-31
139,5호선,강동,29,15.9,484,8,0.5,2022-12-31
140,5호선,길동,38.5,19.7,495,6.9,0.6,2022-12-31
141,5호선,굽은다리,30.9,18.2,501,7.9,0.5,2022-12-31
142,5호선,명일,45.1,29.2,503,6.2,0.4,2022-12-31
143,5호선,고덕,39.1,19.2,484,6.8,0.5,2022-12-31
144,5호선,상일동,50.1,23.5,533,6.1,0.5,2022-12-31
145,5호선,강일,40.5,22.3,453,6.2,0.4,2022-12-31
146,5호선,미사,51.6,30.9,469,7.3,0.5,2022-12-31
147,5호선,하남풍산,41.6,22.9,456,9.2,0.5,2022-12-31
148,5호선,하남시청,35.3,21.3,481,5.4,0.6,2022-12-31
149,5호선,하남검단산,26.5,16.4,463,6.4,0.4,2022-12-31
150,5호선,둔촌동,34,23.3,523,7.9,0.7,2022-12-31
151,5호선,올림픽공원(5),34.1,23.6,496,8.8,0.6,2022-12-31
152,5호선,방이,31.7,16.4,482,6.6,0.5,2022-12-31
153,5호선,오금(5),28.9,17.4,463,6.8,0.5,2022-12-31
154,5호선,개롱,29.9,20,474,5.7,0.3,2022-12-31
155,5호선,거여,30.6,19.4,486,7.5,0.3,2022-12-31
156,5호선,마천,35.7,21.2,489,2.9,0.5,2022-12-31
157,6호선,응암,50.4,29.9,514,10.9,0.4,2022-12-31
158,6호선,역촌,56,37.7,494,14.9,0.6,2022-12-31
159,6호선,불광(6),38.8,26.9,558,16.5,1,2022-12-31
160,6호선,독바위,25.5,17.3,447,8.7,0.5,2022-12-31
161,6호선,연신내(6),38.3,24.9,534,9,0.4,2022-12-31
162,6호선,구산,31.6,19.6,479,8.3,0.5,2022-12-31
163,6호선,새절,31.3,19.4,481,6.5,0.3,2022-12-31
164,6호선,증산,32.6,15.7,478,6.1,0.3,2022-12-31
165,6호선,디지털미디어시티(6),34.8,16.1,500,3.8,0.4,2022-12-31
166,6호선,월드컵경기장,27.7,15.9,454,6.3,0.3,2022-12-31
167,6호선,마포구청,42.7,25.2,533,3.4,0.5,2022-12-31
168,6호선,망원,39.9,24.4,531,7.1,0.7,2022-12-31
169,6호선,합정(6),42.1,21.2,579,6.7,0.4,2022-12-31
170,6호선,상수,42,20.8,499,5.7,0.3,2022-12-31
171,6호선,광흥창,33.5,20,464,7,0.3,2022-12-31
172,6호선,대흥,34,21.2,491,7.8,0.6,2022-12-31
173,6호선,공덕(6),28.5,13.3,503,5.9,0.6,2022-12-31
174,6호선,효창공원앞(6),37.2,18.4,515,11.4,0.4,2022-12-31
175,6호선,삼각지(6),45.2,23.1,583,7.8,0.7,2022-12-31
176,6호선,녹사평,32.6,17.6,477,9.6,0.5,2022-12-31
177,6호선,이태원,31.3,18.7,541,7.5,0.3,2022-12-31
178,6호선,한강진,39,21.5,493,9.3,0.3,2022-12-31
179,6호선,버티고개,45.4,18.2,505,7.3,0.6,2022-12-31
180,6호선,약수(6),37.1,21,581,5.9,0.7,2022-12-31
181,6호선,청구(6),39.8,25.1,488,10.9,0.3,2022-12-31
182,6호선,신당(6),27.4,18.5,557,10.7,0.8,2022-12-31
183,6호선,동묘앞(6),40.6,24.5,592,12.7,0.5,2022-12-31
184,6호선,창신,34.1,24.3,485,8.6,0.4,2022-12-31
185,6호선,보문,44.3,25.3,510,10.5,0.3,2022-12-31
186,6호선,안암,40.3,19.7,553,9.8,0.9,2022-12-31
187,6호선,고려대,30,18.4,492,19.6,0.7,2022-12-31
188,6호선,월곡,39.6,19,485,5.8,0.3,2022-12-31
189,6호선,상월곡,25.9,13.7,463,4.6,0.5,2022-12-31
190,6호선,돌곶이,29.7,14.2,486,4,0.4,2022-12-31
191,6호선,석계,30.4,15.9,545,4.8,0.5,2022-12-31
192,6호선,태릉입구(6),28.6,16.5,479,6.2,0.3,2022-12-31
193,6호선,화랑대,28.7,14.2,496,7.4,0.5,2022-12-31
194,6호선,봉화산,33.6,16,470,7,0.4,2022-12-31
195,7호선,수락산,37,19.5,502,10,0.4,2022-12-31
196,7호선,마들,27.8,15.2,555,10.1,0.6,2022-12-31
197,7호선,노원(7),41.4,24.5,527,9,0.6,2022-12-31
198,7호선,중계,32.4,18.4,509,8.4,0.5,2022-12-31
199,7호선,하계,35.2,18.9,561,9.5,0.5,2022-12-31
200,7호선,공릉,37.9,22.9,543,8.7,0.7,2022-12-31
201,7호선,태릉입구(7),33.1,16.6,487,10.4,0.5,2022-12-31
202,7호선,먹골,31.5,16.2,463,8.5,0.4,2022-12-31
